2025-10-08 01:15:24,230 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='LODHA', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 01:15:24,230 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OBEROIRLTY', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 01:15:24,230 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PHOENIXLTD', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2025-10-08 01:15:24,230 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2025-10-08 01:15:24,230 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='DIVISLAB', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2025-10-08 01:15:32,083 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PHOENIXLTD 28 OCT 1600 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 01:15:37,848 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 01:16:00,414 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 01:16:02,807 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 01:16:24,946 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 01:16:27,606 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:23:04,708 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:23:04,709 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TCS', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 09:23:04,710 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='COFORGE', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2025-10-08 09:23:04,711 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='LTIM', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2025-10-08 09:23:04,712 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TITAN', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2025-10-08 09:23:12,769 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:23:24,013 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:23:26,383 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:23:44,522 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:23:47,011 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:24:02,966 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:24:05,508 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:24:17,930 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:24:20,426 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:24:32,747 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:24:35,250 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:24:47,865 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
